TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEACOV_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEACOV_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202223,AcademicYear,Multi-academy trusts,XAVIER CATHOLIC EDUCATION TRUST,16307,TR03468,10236797,10057399,South East,143367;143369;147430,3,3,0,0,0,0,3,1,0,2,725,106.8,8%,92%,21%,14%,61.6,92%,0.95,0.84,1.06,74%,5.47,31%,40%,52%,48.3,93%,0.53,0.14,0.92,43%,4.1,15%,17%,32%,62.7,92%,0.99,0.87,1.1,76%,5.58,33%,42%,53%,Well above average,143367;143369;147430,3,3,0,0,0,0,725,8%,92%
202223,AcademicYear,Multi-academy trusts,SAPIENTIA EDUCATION TRUST,16336,TR02551,7466353,10058443,East of England,136481;137901;139572;140534;145776;146144,6,5,1,0,0,0,6,2,0,4,774,103.9,15%,85%,7%,17%,49.2,92%,0.22,0.12,0.32,50%,4.45,16%,28%,50%,39.1,98%,-0.27,-0.52,-0.01,29%,3.43,8%,13%,34%,50.9,91%,0.31,0.2,0.42,53%,4.62,18%,30%,52%,Above average,135904;136481;137901;139572;140534;145776;146144,7,5,2,0,0,0,897,20%,80%
202223,AcademicYear,Multi-academy trusts,LIGHTHOUSE SCHOOLS PARTNERSHIP,16340,TR00876,7662102,10058855,South West,136722;136856;145482,3,3,0,0,0,0,3,0,0,3,787,105.3,11%,89%,2%,17%,50.5,99%,0.17,0.07,0.27,51%,4.6,26%,37%,57%,36.2,97%,-0.5,-0.79,-0.2,23%,3.22,10%,16%,39%,52.4,99%,0.26,0.15,0.36,55%,4.78,28%,40%,59%,Above average,136722;136856;145482,3,3,0,0,0,0,787,11%,89%
202223,AcademicYear,Multi-academy trusts,COMMUNITY SCHOOLS TRUST,16390,TR03549,10337377,10064174,London,143274;145113;147653,3,1,1,1,0,0,3,1,0,2,607,104.5,49%,51%,57%,10%,54,83%,0.78,0.65,0.9,61%,4.96,30%,44%,81%,49.2,81%,0.54,0.36,0.71,50%,4.47,25%,37%,75%,58.5,84%,1,0.82,1.17,71%,5.42,35%,50%,87%,Well above average,141086;143274;145113;147653,4,1,1,1,0,1,720,45%,55%
202223,AcademicYear,Multi-academy trusts,EASTERN LEARNING ALLIANCE,16402,TR01146,7899393,10059505,East of England,136887;137547;137826;145196,4,3,1,0,0,0,4,2,0,2,722,104.8,20%,80%,12%,20%,53.1,96%,0.44,0.33,0.54,53%,4.92,30%,39%,50%,37.3,98%,-0.31,-0.55,-0.08,22%,3.27,7%,12%,25%,56.9,95%,0.62,0.5,0.74,61%,5.32,36%,46%,56%,Above average,136887;137547;137826;145196,4,3,1,0,0,0,722,20%,80%
202223,AcademicYear,Multi-academy trusts,THE PRIORY LEARNING TRUST,16417,TR01687,7698707,10059096,South West,137300;143137;146439,3,1,2,0,0,0,3,0,1,2,806,103.3,21%,79%,5%,12%,41.2,98%,-0.31,-0.41,-0.21,34%,3.42,7%,11%,19%,29.4,97%,-1.01,-1.22,-0.79,16%,2.38,2%,3%,14%,44.4,98%,-0.13,-0.24,-0.02,38%,3.7,8%,13%,21%,Below average,137300;143137;146439,3,1,2,0,0,0,806,21%,79%
202223,AcademicYear,Multi-academy trusts,THE LEARNING TRUST,16429,TR00495,7523884,10058507,North West,136645;143817;144742,3,1,1,0,1,0,3,0,0,3,398,105.8,21%,79%,7%,10%,51.1,86%,0.18,0.03,0.33,52%,4.59,22%,31%,50%,37.9,88%,-0.54,-0.87,-0.22,25%,3.33,11%,14%,43%,54.6,86%,0.38,0.21,0.55,59%,4.93,25%,35%,52%,Above average,136645;143817;144742,3,1,1,0,1,0,398,21%,79%
202223,AcademicYear,Multi-academy trusts,LIFE MULTI-ACADEMY TRUST,16430,TR00255,7992438,10059702,East Midlands,137969;143844;147902,3,3,0,0,0,0,3,1,0,2,605,103.7,21%,79%,11%,13%,42.3,98%,-0.26,-0.37,-0.14,46%,3.81,10%,19%,53%,30.2,98%,-0.92,-1.17,-0.67,23%,2.66,5%,11%,39%,45.7,97%,-0.07,-0.2,0.06,52%,4.13,11%,22%,57%,Below average,137969;143844;147902;148549,4,4,0,0,0,0,1112,20%,80%
202223,AcademicYear,Multi-academy trusts,REACH SOUTH ACADEMY TRUST,16503,TR03589,10151730,10064245,South West,146386;146560;147905,3,0,0,2,0,1,3,1,1,1,234,101,40%,60%,16%,19%,30.7,90%,-0.94,-1.13,-0.75,12%,2.42,1%,2%,12%,23.5,91%,-1.39,-1.69,-1.09,5%,1.82,0%,0%,6%,35.1,89%,-0.66,-0.91,-0.41,17%,2.79,1%,4%,16%,Well below average,146386;146560;147905,3,0,0,2,0,1,234,40%,60%
202223,AcademicYear,Multi-academy trusts,SFAET LTD,16518,TR01762,7689980,10058976,London,137396;143877;146309,3,2,1,0,0,0,3,0,0,3,452,105.1,24%,76%,15%,14%,47.2,94%,-0.08,-0.21,0.05,48%,4.42,28%,42%,71%,37,94%,-0.59,-0.86,-0.32,28%,3.37,11%,20%,51%,50.4,94%,0.08,-0.07,0.24,55%,4.76,34%,49%,78%,Average,137396;143877;146309,3,2,1,0,0,0,452,24%,76%
